job_title,industry,location,job_growth_rate,avg_hiring_time_days
!Account Services (1 year contract),Full-time,Singapore,0.04,45.0
"""Care Supervisor - Birmingham East""",Full-time,"Birmingham, UK",0.04,53.0
##FEMALE ONLY## MON/WED GROUP CLASS(INTERMEDIATE) ##ASAP##,Part-time,"Seoul, South Korea",0.04,46.0
"#10316 - Telesales Executive, 45K OTE, Dublin 18",Full-time,"Dublin, Ireland",0.04,47.0
#QP Specialist (Qualified Person Required),Full-time,"Sligo, Ireland",0.04,56.0
#SeniorsWelcome Retail Promoter (Commission/Raffles Place) - DL,Full-time,Singapore,0.04,49.0
$$$ LOOKING FOR LVN'S TO FILL TRAVEL CONTRACTS $$$ NORTHERN CALIFORNIA,Full-time,"San Mateo, CA, USA",0.04,48.0
"$$$ LVN/LPN TRAVEL CONTRACT HOUSTON, TX AREA $$$",Full-time,"Houston, TX, USA",0.04,50.0
"$$CNA-AM Shift, Visalia, CA- Contract$$",Full-time,"Visalia, CA, USA",0.04,42.0
$$SHORT TERM LOCAL CONTRACT LPN/LVP$$$,Full-time,"Delano, CA, USA",0.04,49.0
$10 - 12/HR | WEEKEND SAMSUNG PROMOTER | BASIC + COMMISSION,Part-time,Singapore,0.04,50.0
$10K Bonus: 23-24 High School Math Teachers,Full-time,"Philadelphia, PA, USA",0.04,54.0
$17HR + COMMISSION - RETAIL SALES,Part-time,"Merced, CA, USA",0.04,52.0
$25/hr Entry Level Customer Service Representative,Part-time,"Compton, CA, USA",0.04,46.0
$3K HIRING INCENTIVE CONSTRUCTION (CARPENTRY) TEACHER (IN-PERSON),Full-time,"Atlanta, GA, USA",0.04,59.0
$650/Day Part-Time Optometrist in Inland Empire California,Full-time,"Apple Valley, CA, USA",0.04,58.0
$9/hr | Sorters @ Multiple Locations|Min 4 Hrs Work| Immediate Start,Part-time,Singapore,0.04,59.0
( à¨ªà©°à¨à¨¾à¨¬ à¨ªà©à¨²à¨¿à¨¸ ) Constable Jobs In Punjab 2023- Apply Online 1191... Pathankot,Full-time,"Pathankot, Punjab, India",0.04,44.0
"() Software Developer Full Stack, Intermediate Level Software Developer",Contractor,"Toronto, ON",0.04,48.0
(*) Senior Commercial Underwriter (Alberta),Full-time,"Calgary, AB",0.04,54.0
"(*) Underwriter II - Commercial Lines (Auto, Remote/ hybrid within Alberta)",Full-time,"Calgary, AB",0.04,42.0
"(072) TECHNICIAN III - DFW Area, Texas Roadside Services",Full-time,"Gladewater, TX, USA",0.04,56.0
(12 MONTH CONTRACT) Citrix Expert - EUR 750 / DAY,Contractor,"Berlin, Germany",0.04,47.0
"(2194) Advisor, Corporate Development (Hybrid)",Full-time,"Calgary, AB",0.04,57.0
(A-IT Software) UX UI Designer (Intermediate) (MAX 3302),Full-time,Singapore,0.04,58.0
(ASAP)part time/seoul korea / sangdodong / for Kinder,Part-time,"Seoul, South Korea",0.04,40.0
