trait_id,career_name,O,C,E,A,N
1, Collaborative Manipulation Roboticist,0.62,0.74,0.7,0.67,0.43
2,Software Engineer - Innovation Lab,0.73,0.81,0.47,0.47,0.29
3,"Director, Standards & Strategy",0.5,0.84,0.97,0.79,0.49
4,Business Strategy Consultant,0.59,0.61,0.65,0.64,0.46
5, Regular Full-Time,0.67,0.58,0.61,0.62,0.49
6," Vice President, Advanced Research",0.81,0.79,0.35,0.67,0.21
7, Analytics Engineer,0.82,0.83,0.31,0.54,0.34
8,"Director, Informatics",0.66,0.71,0.82,0.89,0.54
9,"Manager, Platforms Risk",0.52,0.75,0.81,0.93,0.5
10,"Regulatory Writer, All Locations",0.68,0.61,0.65,0.66,0.44
11, Director Sales Enablement,0.69,0.81,0.99,0.93,0.57
12, Vehicle Operator,0.73,0.57,0.59,0.56,0.47
13, Account Director,0.58,0.7,0.97,0.82,0.51
14,"Innovation Strategist, MRM//McCann",0.66,0.58,0.71,0.56,0.6
15, Senior Artificial Intelligence Researcher,0.8,0.79,0.25,0.71,0.34
16,User Experience Designer,0.95,0.6,0.56,0.67,0.37
17,Software Engineer,0.87,0.92,0.37,0.36,0.21
18, Software Quality Assurance Analyst,0.72,0.9,0.38,0.73,0.29
19, Chief of Staff,0.57,0.69,0.7,0.66,0.55
20,"Strategic Marketing Manager, Artificial Intelligence (AI)",0.75,0.85,0.34,0.56,0.22
21, Student Research Collaboration,0.66,0.88,0.31,0.65,0.38
22,Customer Success Specialist,0.6,0.63,0.7,0.6,0.42
23, Energy Industry Technology Specialist,0.61,0.58,0.74,0.71,0.53
24,Director - Artificial Intelligence (AI) Offering Lead,0.82,0.91,0.29,0.73,0.31
25,Marketing Content Manager,0.66,0.83,0.86,0.77,0.5
26,Sr. Redactor - All Locations,0.64,0.71,0.72,0.55,0.5
27, Digital Solution Architect - ThingWorx,0.78,0.84,0.32,0.42,0.34
28," Reporter, WSJ Pro Artificial Intelligence",0.86,0.55,0.69,0.67,0.54
29, Sr. Software Engineer - Advanced Tech,0.89,0.85,0.4,0.41,0.21
30, Sr FP&A Analyst,0.66,0.87,0.35,0.56,0.26
31, Software Test Engineer,0.88,0.85,0.33,0.45,0.35
32,Product Designer,0.85,0.58,0.7,0.65,0.5
33, International Digital Marketing Manager,0.57,0.78,0.93,0.86,0.47
34,Geospatial Analyst,0.82,0.81,0.29,0.56,0.32
35,Customer Education and Training Specialist,0.79,0.75,0.35,0.6,0.33
36,Sr. Regulatory Writer - All Locations,0.58,0.69,0.63,0.74,0.43
37, UX Designer,0.87,0.47,0.73,0.78,0.4
38," Program Officer, Postsecondary",0.68,0.71,0.66,0.66,0.45
39,Senior Marketing Analyst,0.67,0.93,0.43,0.68,0.27
40,Technology or business writer,0.62,0.7,0.73,0.73,0.56
41,"Product Manager, Voice Experiences",0.63,0.67,0.83,0.93,0.57
42," Communications Manager, Artificial Intelligence, Google Cloud",0.5,0.67,0.93,0.75,0.48
43,Return Merchandise Authorized (RMA) Material Handler,0.66,0.69,0.68,0.59,0.54
44,"Regional Solutions Architect, West Channel Sales",0.75,0.87,0.45,0.48,0.32
45,Audit Manager - Phoenix,0.63,0.76,0.82,0.82,0.5
46,Assistant IT Analyst I,0.7,0.94,0.33,0.73,0.33
47,Sales Operations Specialist,0.66,0.75,0.92,0.85,0.49
48,Machine Learning / Artificial Intelligence Scientist Site Lead,0.79,0.81,0.25,0.68,0.24
49,Career Consultant – HR Transformation or Rewards,0.54,0.89,0.83,0.87,0.5
50,"Account Executive Fraud Solutions, Issuing Southwest Region",0.99,0.54,0.74,0.79,0.52
51,Research Scientist,0.71,0.83,0.42,0.61,0.23
52,User Experience Engineer,0.81,0.99,0.44,0.46,0.17
53, GM Carline Specialist,0.67,0.75,0.58,0.65,0.58
54,Quintiq - Algorithm and Optimization Expert,0.95,0.59,0.69,0.67,0.41
55, Head of US office,0.66,0.81,0.97,0.93,0.55
56, Senior Data Systems Analyst,0.75,0.91,0.38,0.69,0.36
57, Product Support Representative,0.53,0.77,0.73,0.82,0.62
58," Associate Principal Regulatory Writer - Philadelphia, PA",0.36,0.79,0.76,0.86,0.62
59, Video / Audio Specialist,0.56,0.56,0.71,0.62,0.43
60,"Artificial Intelligence Engineer, Manager",0.8,0.95,0.34,0.47,0.17
61, Autonomous Vehicle Operations Specialist,0.36,0.81,0.76,0.93,0.65
62, Store Operations Learning Program Designer,1.0,0.55,0.61,0.76,0.4
63,Strategist,0.64,0.57,0.56,0.74,0.57
64,Sales Representative,0.64,0.73,0.83,0.78,0.5
65," Senior Product Manager, Computer Vision, Artificial Intelligence",0.61,0.79,0.93,0.81,0.64
66, Legal Operations Leader,0.65,0.76,0.92,0.83,0.5
67, Software Dev-QA Engineer,0.77,0.95,0.3,0.37,0.16
68,Digital Forensics and eDiscovery Senior Associate,0.36,0.87,0.79,0.89,0.52
69,Regular Full-Time,0.65,0.64,0.58,0.64,0.48
70,"Senior Product Manager - Zestimate, Artificial Intelligence",0.62,0.78,0.81,0.82,0.58
71, Professional Artificial Intelligence / Data Science,0.75,0.92,0.38,0.58,0.21
72, Attorney,0.68,0.56,0.67,0.74,0.52
73, Machine Learning and Artificial Intelligence Senior Scientist,0.73,0.88,0.34,0.66,0.39
74,Staff Engineer,0.78,0.99,0.48,0.39,0.16
75, Channel Director,0.52,0.65,0.82,0.89,0.46
76, Technical Sales Rep – Artificial Lift Systems,0.56,0.82,0.8,0.91,0.51
77, QA Specialist,0.57,0.69,0.68,0.73,0.55
78, Principal Investigators – High-Tech Research,0.81,0.81,0.29,0.7,0.36
79, Software Developer 1 - Autonomy,0.9,0.88,0.37,0.51,0.22
80, Don't See an Exact Fit to Your Profile? Apply Here.,0.74,0.72,0.64,0.7,0.55
81,Human Factors and Usability Engineer,0.72,0.98,0.4,0.52,0.21
82,Business Ops & Planning,0.73,0.63,0.55,0.73,0.42
83,"Tenured/Tenure-Track Faculty Positions in Artificial Intelligence and
Machine Learning Rensselaer",0.86,0.64,0.74,0.71,0.48
84,Research Staff Member,0.74,0.81,0.32,0.68,0.35
85, Autonomous Driving Algorithm Engineer,0.86,0.96,0.32,0.45,0.16
86, Program Manager - Drilling and Completions,0.61,0.74,0.98,0.82,0.47
87," Sr. Director, Clinical Statistics",0.53,0.8,0.92,0.77,0.47
88," Senior Mgr, Data Science",0.79,0.76,0.41,0.69,0.22
89,Vice President of Data Analytics & BI,0.67,0.95,0.32,0.62,0.36
90, Content Marketing Operations Manager,0.69,0.85,0.95,0.83,0.47
91, Mechanical Engineer II,0.86,0.91,0.38,0.53,0.17
92, System Director Data Science & Advanced Analytics,0.75,0.75,0.34,0.56,0.22
93,Research Associate - Technological Innovation,0.67,0.88,0.4,0.67,0.39
94,Maria Goeppert Mayer Fellowship,0.62,0.61,0.72,0.59,0.59
95,Inside Sales Territory Representative,0.5,0.84,0.81,0.93,0.56
96,"Sourcing Manager, Virtual/Augmented Reality",0.7,0.66,0.91,0.94,0.55
97, PH-R&D Imagineer -Technical Project Coordinator,0.68,0.69,0.64,0.68,0.52
98, Technical Writer,0.73,0.56,0.61,0.74,0.58
99,Analytic Solutions - Business Initiatives Manager,0.59,0.77,0.86,0.79,0.54
100, Redaction Workstream Lead - All Locations,0.57,0.77,0.82,0.94,0.65
101,"Research Scientist, Aristo",0.79,0.86,0.31,0.71,0.34
102," Assistant General Counsel, Privacy",0.58,0.73,0.71,0.74,0.55
103,Technical Retail Experience Manager,0.77,0.83,0.44,0.72,0.21
104,Autopilot Internship/Co-Op (Fall 2018),0.56,0.63,0.71,0.75,0.43
105, Python Developer,0.82,0.88,0.49,0.52,0.32
106,Manufacturing Engineer,0.79,0.88,0.35,0.36,0.32
107,Solutions Executive,0.71,0.75,0.75,0.66,0.55
108, Client Executive - Digital Solutions,0.74,0.72,0.6,0.64,0.43
109, Account Executive - New Logo,0.74,0.67,0.6,0.68,0.52
110, Intern Program,0.62,0.57,0.68,0.65,0.55
111, Artificial Intelligence Senior Manager,0.6,0.82,0.91,0.86,0.63
112, Accounting Assistant,0.63,0.58,0.56,0.7,0.52
