skill_id,skill_name,category,proficiency_levels,related_careers,demand_level
1,###,Domain Skill,Beginner,"Perception Integration Engineer,  Data Engineer, DCHS Initiatives Evaluation Manager,  Quality Improvement Coordinator, Consultant, Reporting & Data Analysis,  Product Manager, Bundling,  Field Consultant-Neuroscience-New England,  Admission Consultant (Inside Sales Rep),  Infrastructure Architect,  Cyber Security Architect, Investigator - Regional Investigations - Global Security & Investigations,  Enterprise Technology Consultant - Americas Integration Center,  Student Intern/Graduate Student Intern - Citywide,  Architect - Technology",0.5
2,### ****,Domain Skill,Intermediate, Software Test Specialist I,0.55
3,& deploy tools,Domain Skill,Intermediate, Full Stack Software Engineer,0.54
4,& powerpoint,Domain Skill,Beginner," Project Employee, NBA G League Statistics",0.41
5,& word),Domain Skill,Beginner,Operations Supervisor,0.56
6,'big data' management,Soft Skill,Intermediate, Enterprise Data Architect,0.64
7,(k),Domain Skill,Beginner,"Manager, Biostatistics and Data Management (Neurovascular)",0.42
8,(note: the level of experience required and the technical skills listed suggest some level of education or training in addition to professional experience is expected.),Domain Skill,Intermediate,Systems Desktop Administrator,0.43
9,) adobe fireworks,Domain Skill,Beginner,Human Factors Specialist,0.5
10,) adobe indesign,Domain Skill,Intermediate,Human Factors Specialist,0.43
11,) adobe photoshop,Domain Skill,Intermediate,Human Factors Specialist,0.6
12,) backup and recovery,Domain Skill,Intermediate, Data Analyst Lead - Sesame Data Replication Specialist,0.56
13,) capacity planning,Domain Skill,Beginner, Data Analyst Lead - Sesame Data Replication Specialist,0.57
14,) communication skills,Soft Skill,Beginner,Supervisor - Call Center Operations,0.57
15,) compliance with regulations,Domain Skill,Intermediate, Quality Coordinator,0.44
16,) configuration management,Soft Skill,Expert, Data Analyst Lead - Sesame Data Replication Specialist,0.75
17,) curriculum development,Domain Skill,Intermediate,Trainer - Meetings and Events,0.45
18,) customer service,Domain Skill,Beginner,Supervisor - Call Center Operations,0.49
19,) data analysis,Hard Skill,Intermediate,"Human Factors Specialist,  Quality Coordinator, Supervisor - Call Center Operations",0.75
20,) data cleaning,Domain Skill,Intermediate, Data Analyst Lead - Sesame Data Replication Specialist,0.56
21,) data ingestion,Domain Skill,Beginner, Data Analyst Lead - Sesame Data Replication Specialist,0.43
22,) data mining,Domain Skill,Intermediate, Data Analyst Lead - Sesame Data Replication Specialist,0.57
23,) data modeling,Domain Skill,Intermediate, Data Analyst Lead - Sesame Data Replication Specialist,0.54
24,) data replication,Domain Skill,Intermediate, Data Analyst Lead - Sesame Data Replication Specialist,0.48
25,) data transformation,Domain Skill,Beginner, Data Analyst Lead - Sesame Data Replication Specialist,0.48
26,) data validation,Domain Skill,Intermediate, Data Analyst Lead - Sesame Data Replication Specialist,0.42
27,) database administration,Hard Skill,Intermediate, Data Analyst Lead - Sesame Data Replication Specialist,0.65
28,) database design,Hard Skill,Beginner, Data Analyst Lead - Sesame Data Replication Specialist,0.77
29,) database management,Hard Skill,Beginner, Data Analyst Lead - Sesame Data Replication Specialist,0.68
30,) electronic health records systems,Domain Skill,Beginner, Quality Coordinator,0.53
31,) ethnography,Domain Skill,Intermediate,Human Factors Specialist,0.5
32,) html,Hard Skill,Beginner,Human Factors Specialist,0.67
33,) leadership,Soft Skill,Beginner,Supervisor - Call Center Operations,0.74
34,) learning management systems,Soft Skill,Intermediate,Trainer - Meetings and Events,0.79
35,) microsoft office suite,Domain Skill,Beginner," Quality Coordinator, Trainer - Meetings and Events",0.53
36,) operations management,Soft Skill,Intermediate,Supervisor - Call Center Operations,0.75
37,) performance management,Soft Skill,Intermediate,Supervisor - Call Center Operations,0.76
38,) performance monitoring,Domain Skill,Intermediate, Quality Coordinator,0.49
39,) performance tuning,Domain Skill,Intermediate, Data Analyst Lead - Sesame Data Replication Specialist,0.44
40,) powerpoint,Domain Skill,Beginner,Human Factors Specialist,0.57
41,) problem-solving,Soft Skill,Intermediate,Supervisor - Call Center Operations,0.55
42,) quality management,Soft Skill,Beginner, Quality Coordinator,0.73
43,) security design,Hard Skill,Intermediate, Data Analyst Lead - Sesame Data Replication Specialist,0.78
44,) spss,Domain Skill,Beginner,Human Factors Specialist,0.56
45,) time management,Soft Skill,Intermediate,Supervisor - Call Center Operations,0.67
46,) training and development,Domain Skill,Intermediate,Supervisor - Call Center Operations,0.44
47,) training needs assessment,Domain Skill,Intermediate,Trainer - Meetings and Events,0.56
48,) usability testing and optimization,Domain Skill,Beginner,Human Factors Specialist,0.59
49,) user-interface (ui) design solutions,Domain Skill,Beginner,Human Factors Specialist,0.6
50,) visio,Domain Skill,Beginner,"Human Factors Specialist, Trainer - Meetings and Events",0.58
51,) webex,Domain Skill,Intermediate,Trainer - Meetings and Events,0.41
